,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,stoxx,cor,banks_index,spread,index,spread_ch
3,2000-01-10,,,,0.0056405519755762246,0.005132599822356143,0.013689816151665646,-0.0088888705132385,0.024118725468816216,,0.015996494553117246,-0.04113106369037056,0.005807214760128021,0.019780210522768682,,-0.002188836081620793,,-0.0257647258121958,0.01320133216510233,,-0.001289490174613328,-0.009523820058331967,-0.004587155603929971,0.001191926871467297,-0.015544110287282087,,0.05115352316573518,-0.013655390588579785,0.05263154094788236,,0.02229295745525195,,,-0.0054052286461898635,-0.008833887694162934,0.006024057093132695,0.050691318121093065,0.036437230938041854,0.0,-0.012769686242183997,0.0043955535389286204,,-0.005035450730719093,,,5.63,,
8,2000-01-17,,,,0.008491720362167943,0.02067186540478283,-0.0464516253341406,0.0,0.0,,0.08790321963431835,-0.023809485338127767,-0.008187135662950484,0.0005297625277453921,,0.0054944307659665625,,0.026516142474600102,0.0,,0.00867608934871722,0.0022457659979657763,-0.010280341088268141,-0.007017556703562966,-0.029332015556430835,,-0.02199996948242189,-0.02555915824070243,-0.01473685209369946,,0.010186731045456199,,,-0.005434953690749311,-0.02653251676932522,0.005780309157075836,0.02857142857142847,-0.0038461680362995576,0.0033557175848972776,0.02961279571340314,-0.007075457534265417,,0.004427743307407805,,-0.015894497394108753,5.35,,-0.04973357015985791
13,2000-01-24,,,,-0.01253654905266366,-0.017241351533271665,-0.0027798669711838198,0.005025075859059314,0.006944434618489703,,0.0014903234147476407,-0.011204490692674152,0.0024813762872324396,0.03399594386833016,,-0.016939731560743354,,-0.02314872021235237,0.006472530407001464,,-0.001341381107364148,0.005490985210701016,0.014091541860246748,-0.030937136678497845,-0.03561599236633084,,0.001956099888527296,-0.016741008564293947,-0.01606422660602913,,-0.032786885245901676,,,0.02808987240627525,0.011011034196744873,-0.005952430350596782,-0.009615348640981014,-0.03585655847916969,0.0,-0.0009398405300441448,-0.009852243825452689,,0.003413175461382756,,-0.03461392164321031,5.24,,-0.020560747663551315
18,2000-01-31,,,,-0.019031169319589925,-0.03846147702690639,-0.008620765954389098,-0.019047580433962596,-0.012068929041801235,,-0.07079641729848107,0.011940308096430208,-0.019300351673805283,-0.05882356625390128,,-0.01826482536106866,,-0.019607837006884732,-0.01650164863353243,,-0.009386520026392065,-0.00689199173399746,0.0004866844513709001,-0.03352693246870486,-0.0207705941829589,,-0.03630656590462489,-0.027186695051894305,-0.004065057651465587,,-0.021666653951009085,,,0.0,0.0,-0.02499993047463578,-0.004830954731374515,-0.0368852313387209,0.007272755015980126,-0.012339775622538407,0.022613019269491996,,0.02095526914329049,,-0.021519064072255678,5.36,,0.022900763358778553
23,2000-02-07,,,,0.04840655684597883,0.031674241816926685,0.021629462029299384,-0.009615364935486537,-0.005281742348416718,,-0.04504505327423014,-0.003003027133100855,-0.027534463548084975,-0.01010300595465874,,-0.023579204509937446,,-0.00844393254853859,-0.003355690900594399,,0.023285477927950105,0.0,-0.006480591387381107,0.002388452408974562,-0.05459745683270789,,-0.0047202268205703835,-0.021505402972870624,-0.008000033706631049,,-0.024793388429752095,,,0.0,0.03071017883375471,0.0,0.009852179535820849,0.004184115919978693,0.010638270529935934,-0.0013844255379550363,-0.0025907177399199233,,0.005641617055761605,,-0.011832486680708687,5.3,,-0.011194029850746356
28,2000-02-14,,,,0.0224846792405351,-0.027678544239191694,-0.025832855560991574,0.09292034039943031,-0.0035524330088677614,,-0.04347826853624115,-0.011869445165081038,-0.005102013725071797,-0.051550411924230266,,0.016304333765925882,,-0.013410966911230338,-0.013288982449921383,,-0.006537802908139767,-0.005666696836080565,-0.0171371122205084,-0.011845925677742675,-0.0679347891512534,,0.018181818181818077,0.010362654513950575,0.029106050281679563,,-0.020000012715657545,,,0.0,0.04833826532627716,-0.011904772415020637,0.0,-0.01632651555331477,0.003521140239892029,0.0,-0.04250001126531999,,0.003315156772834338,,0.008369381230016959,5.27,,-0.005660377358490565
33,2000-02-21,,,,-0.01511009972275923,-0.00423736027738042,-0.04550965176072974,0.0,-0.009009097940715804,,0.009774412566458945,0.009146326594654974,-0.023980871651700153,0.0010648531914705384,,-0.02098603110564412,,0.057976391290661455,0.0,,-0.01882281835239985,-0.009488292773678797,-0.004901960373922654,-0.025145808156928795,-0.022285480005366787,,-0.025301186435193856,-0.027718614978800127,-0.02999997942327759,,-0.015025066827253353,,,-0.005464390071922787,0.01756004457198057,0.056250005793780256,0.020304608042164496,0.04741372798443311,0.0,-0.009515194779629033,0.02133331644687697,,0.008294735567462852,,0.018340638502906348,5.26,,-0.001897533206831059
38,2000-02-28,,,,-0.027205403877100687,0.10214598347061843,-0.006280453004127717,-0.016460872773395918,0.001845036791717769,,-0.06566737540084855,-0.02366865840142629,-0.013365711213823017,-0.030927757649153453,,-0.01955737464262919,,-0.015344952283007252,0.0066666389922254154,,-0.021084328248363926,-0.01956679177507281,0.009309178287972841,0.018867958130651674,-0.011175058034839425,,-0.03518070083066638,-0.008928627307929204,0.0021552343094042303,,-0.0049999872843424775,,,0.010869207845990214,-0.005519818096281659,0.005747174446546044,-0.009756061070590905,0.0,-0.01754385964912286,-0.014375564741877178,-0.021739113533591148,,-0.0021131936787945893,,-0.001159986568576521,5.27,,0.001901140684410496
43,2000-03-06,,,,-0.01846756780710046,-0.05475140880535989,0.0026491585851913246,-0.02499994908494474,0.0,,-0.013513510899537007,0.0344828065049636,0.040556207068065175,-0.010522096941551151,,-0.019312239114160024,,-0.0010343708461623136,-0.0032680259832550407,,-0.0037570431097994073,-0.02158018540382267,0.00813401965732985,-0.010443334149397243,0.16585453636276593,,-0.0033696490913743826,0.03605504857011277,-0.019650683515987977,,-0.0234506115240789,,,0.0,-0.0036563329081947815,-0.021857942098814975,0.0,0.009174346085193186,0.008596520674856167,-0.026572211138016666,0.10126588788123358,,-0.004811284104832225,,0.027596956083249413,5.29,,0.00379506641366234
48,2000-03-13,,,,0.0,-0.006896540613308688,-0.002016133687549493,-0.025531929740092774,0.0,,0.0,-0.02857140957755111,-0.01997643766693946,-0.021737015547033445,,-0.054607547863973815,,0.0,0.0,,0.0,0.0,-0.027499997651660224,-0.02031067906998274,-0.0595241930823428,,-0.025069679321047644,-0.021739049985404102,0.0,,0.0,,,0.0,-0.0008936121941679476,0.0,-0.035353573885830936,-0.035714253361115,-0.0036101219752859848,0.0,-0.05134471026718623,,0.020587611048785703,,-0.039317154413514244,5.23,,-0.011342155009451682
