σ,σ_ss,n_default,degree,interm,interm_assets,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
4.001,-0.0,1,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,4,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,2,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,3,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,3,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,2,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,1,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,1,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,1,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,1,1.2,0,0.0,0.03232421875,0.010972558096258024,0.11441439604794118,0.12608996118854207,0.7109888873405324
4.001,-0.0,3,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,7,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,8,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,1,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,2,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,6,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,4,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,1,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,1,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,1,1.5,0,0.0,0.052407836914062506,0.016207578847104175,0.09707666208940799,0.139779598331076,0.6424596071042807
4.001,-0.0,5,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,10,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,5,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,3,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,1,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,4,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,1,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,1,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,4,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,1,1.1,0,0.0,0.026635742187500006,0.009992611845619729,0.11400040304294277,0.10941961715399776,0.804972828784418
4.001,-0.0,8,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,9,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,10,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,6,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.4,0,0.0,0.011895727922092189,0.0099261914745236,0.11553456149464417,0.11932539313753635,0.7625739375928756
4.001,-0.0,1,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,2,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,9,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,5,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,7,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,1,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,2,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,1,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,4,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
4.001,-0.0,1,1.2,0,0.0,0.0566650390625,0.00997650242674367,0.0699613464177678,0.12095242785277024,0.7868391346284745
