σ,σ_ss,n_default,degree,interm,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
1.001,-1.5,3,1.1,0,0.084375,0.061853645152878875,0.12596027797687015,0.1639286441355216,0.5588406373988065
1.001,-1.5,1,1.15,0,0.09921875000000001,0.05694384752331187,0.13353151402470917,0.13790091528795814,0.510403912597234
1.001,-1.5,1,1.2,0,0.07343750000000002,0.08178018931819254,0.1256182151756804,0.13561056279027422,0.6056044133024854
1.001,-1.5,1,1.3,0,0.09999771118164064,0.058138983744913296,0.13863322188528798,0.12534136261047682,0.5489262836790363
1.001,-1.5,2,1.15,0,0.09843750000000001,0.08415012238830062,0.12812668739995234,0.17709078029867104,0.5026601943823726
1.001,-1.5,5,1.5,0,0.06875,0.17975145490763758,0.15412617038205945,0.11277905890339979,0.5804261785105758
1.001,-1.5,3,1.35,1,0.07763671875000003,0.16146470435441657,0.1253366180569605,0.13105497474060224,0.5781131872593567
1.001,-1.5,1,1.35,0,0.0625,0.13398411944303418,0.12536350953179792,0.10953151763331881,0.6714728915814889
1.001,-1.5,1,1.1,0,0.07338867187500002,0.09865048889607937,0.10438953337294311,0.15501687882075194,0.5855626542868504
1.001,-1.5,1,1.3,0,0.084375,0.05880392051939419,0.14486856791721722,0.11784798115653017,0.5328896367201237
1.001,-1.5,2,1.1,1,0.061328125,0.07590047940504085,0.1018244910550952,0.14505615398784638,0.7062195911098829
1.001,-1.5,1,1.25,0,0.059375,0.07585074097015478,0.13277844587884724,0.11812682220788373,0.610804572522543
1.001,-1.5,1,1.4,0,0.07187500000000001,0.20918606906732543,0.15046128421278476,0.11943540775967117,0.5221384918115266
1.001,-1.5,3,1.35,1,0.0630859375,0.15276068217209943,0.1365272876280809,0.12073584751847552,0.6149849955115535
1.001,-1.5,1,1.3,0,0.07252197265625,0.18276608830198357,0.14884721857236502,0.11271440695265145,0.6392149651473094
1.001,-1.5,3,1.25,0,0.096875,0.0857598290507853,0.13930842575286514,0.15255279762108598,0.5298794770713331
1.001,-1.5,1,1.5,1,0.07817382812500001,0.20928062999749014,0.14196129500311516,0.11124033873127359,0.6043073916981591
1.001,-1.5,5,1.4,1,0.07744140625000001,0.10098115177516706,0.15501229612455267,0.11213011281693572,0.677866248938495
1.001,-1.5,1,1.45,1,0.08281250000000001,0.07698221881344973,0.16005783329098894,0.13819548406289445,0.5205171503411864
1.001,-1.5,3,1.25,1,0.08359375000000001,0.1224209693786408,0.1463667642663771,0.12503565437258293,0.5473727000908648
1.001,-1.5,2,1.5,2,0.084375,0.11632002229008868,0.16044362040289842,0.10735038296413084,0.6354377556909406
1.001,-1.5,1,1.3,1,0.09609375,0.06382958288802203,0.15920115282999045,0.1421385677760907,0.4993721249081764
1.001,-1.5,1,1.2,1,0.06953125,0.10831832108671965,0.13255584995107092,0.14686602706277532,0.5450192979248792
1.001,-1.5,1,1.15,0,0.08125000000000002,0.08989087998341522,0.1266876550649117,0.12912519718347243,0.59624967390381
1.001,-1.5,1,1.25,1,0.07812500000000001,0.05992177869719695,0.1334936175466545,0.13925679435732669,0.5705451281771993
1.001,-1.5,1,1.25,0,0.08125000000000002,0.058660979673132,0.12202394941463855,0.10771015839537257,0.7172210741542958
1.001,-1.5,1,1.5,0,0.07812538146972658,0.1614431031285005,0.14362808500008778,0.11415435852019458,0.5970691197163605
1.001,-1.5,3,1.15,0,0.06552734375,0.12593292757156765,0.11451513104700431,0.1273444005184956,0.7490485529289067
1.001,-1.5,3,1.35,0,0.09848632812500001,0.14561715076814824,0.15450235268710982,0.1135958833675201,0.5416793809832795
1.001,-1.5,1,1.0,0,0.0937255859375,0.1095755772289844,0.12694235332041634,0.16530258322817518,0.5677539743248416
1.001,-1.5,2,1.35,1,0.074127197265625,0.08343017883376094,0.12823248787517869,0.12311832474542621,0.6008237222300851
1.001,-1.5,3,1.15,0,0.0970703125,0.09727568307032465,0.13652689967581313,0.1408219973636643,0.5460013067121221
1.001,-1.5,5,1.15,0,0.07822265625000002,0.09445038978595804,0.1396231942569421,0.12779287259514288,0.5435424487144065
1.001,-1.5,1,1.4,1,0.07363281250000002,0.11426853969183907,0.12991380943344719,0.14316419747252446,0.575400598381629
1.001,-1.5,2,1.05,0,0.07187500000000001,0.07955740230846772,0.10999618514364795,0.1494234341601452,0.6569753827986708
1.001,-1.5,1,1.15,0,0.08515625,0.05985911593584614,0.13832788957402345,0.1388916361105747,0.5190161698122254
1.001,-1.5,3,1.5,1,0.0625,0.16256734318161928,0.1669365594993638,0.11567417480278278,0.6476369900602721
1.001,-1.5,2,1.2,0,0.07812500000000001,0.16681745147989308,0.1200035647234758,0.14946609131358204,0.6367716936953723
1.001,-1.5,3,1.2,0,0.0919921875,0.1656492918540621,0.1173548099301489,0.14833529471119114,0.5976362469371334
1.001,-1.5,4,1.4,1,0.0954345703125,0.06207039793713308,0.13493748814192164,0.12339165475772187,0.5547830929531844
1.001,-1.5,1,1.3,0,0.0953125,0.058959883942336686,0.1406603197137776,0.12174166837790068,0.5044204513800936
1.001,-1.5,1,1.3,0,0.08984375000000001,0.059372788519605445,0.1438158416447548,0.10769748792466986,0.650794303174499
1.001,-1.5,5,1.15,1,0.09677581787109374,0.056914245734584513,0.1239158977827363,0.12440530203954034,0.5563139898453784
1.001,-1.5,2,1.05,0,0.08125000000000002,0.05987152648999973,0.12485531579735594,0.17091273181047,0.5514621125187009
1.001,-1.5,3,1.35,0,0.08750000000000001,0.058745945240798944,0.14502160793209656,0.11242915322311076,0.6065874114441309
1.001,-1.5,1,1.25,1,0.09062500000000001,0.059249330675416115,0.1602970863415717,0.15048401969930797,0.46019931797863184
1.001,-1.5,1,1.2,0,0.0919921875,0.126889600434139,0.10929578065430655,0.14472880533255938,0.6432129356187364
1.001,-1.5,2,1.25,0,0.0609375,0.15215854916771707,0.1007185989976733,0.12143179104384612,0.7190428858732509
1.001,-1.5,5,1.25,0,0.07812500000000001,0.0960493051074397,0.11901824176160838,0.14929021047514315,0.6593308714548209
1.001,-1.5,2,1.15,0,0.078515625,0.08893016561939701,0.10788005185302472,0.14179730884620162,0.6731376254156645
1.001,-1.5,3,1.35,3,0.09511718749999999,0.06870939565520354,0.12694391968497892,0.12903981438464412,0.541514141071409
1.001,-1.5,3,1.4,0,0.09101562500000002,0.07696962327100708,0.14355935700756237,0.1112338431364264,0.6036136682600791
1.001,-1.5,2,1.25,0,0.09999694824218751,0.043475427798088176,0.12855364234426783,0.09618154198244179,0.5863100744026444
1.001,-1.5,1,1.1,0,0.0999755859375,0.054062018972487524,0.1152807119956841,0.14282851091031196,0.5444451908905144
1.001,-1.5,2,1.2,1,0.06718750000000001,0.09509090825162883,0.13471304740018777,0.11269337696005258,0.7084686515305645
1.001,-1.5,1,1.2,1,0.09375,0.05349387271428382,0.11363229321604452,0.12299814234620568,0.5787395421070306
1.001,-1.5,3,1.1,0,0.09609375,0.061354157037664,0.13803292215555196,0.15302656097767955,0.434210168580507
1.001,-1.5,3,1.25,0,0.082421875,0.1516719883216183,0.1252135246833797,0.19277745805882035,0.5270749493648716
1.001,-1.5,1,1.15,0,0.09990158081054688,0.057961214022317284,0.12705300686006293,0.13386078306166202,0.5201679670557061
1.001,-1.5,1,1.35,1,0.07890625000000001,0.0702410659682102,0.16108684455008718,0.14059835394837622,0.6209882551592163
1.001,-1.5,1,1.1,0,0.09160156250000001,0.058687463436158216,0.11761738724868682,0.15778049048236767,0.5800213289486554
1.001,-1.5,3,1.4,1,0.0578125,0.19872230328372242,0.10655729986795945,0.14775510088306051,0.6427514363569542
1.001,-1.5,2,1.1,0,0.07911376953125002,0.16765011748133654,0.08919141189072674,0.17352176663699906,0.634598308572849
1.001,-1.5,1,1.25,0,0.09999809265136719,0.13526841591935482,0.11978551619336657,0.13455675482966162,0.48909825320126055
1.001,-1.5,6,1.3,1,0.07265625,0.06757019605782111,0.13341364735553915,0.13274104149782479,0.5811991493417858
1.001,-1.5,1,1.2,0,0.08144531250000002,0.09291040331141397,0.12939862520691645,0.12715153729179113,0.54321198328251
1.001,-1.5,5,1.25,0,0.076171875,0.07545973130797184,0.13882923267642602,0.12212074333416774,0.5484341482087538
1.001,-1.5,6,1.15,0,0.09641113281250002,0.07677956853480267,0.1155817668542933,0.1296492422268863,0.5904742362768871
1.001,-1.5,5,1.35,0,0.08749694824218751,0.13644565671023026,0.15081110786174315,0.10980589802201723,0.5948672209221884
1.001,-1.5,4,1.15,0,0.096875,0.11699056656916625,0.11122416919734135,0.15967075865145713,0.5446357374483289
1.001,-1.5,1,1.25,1,0.09062500000000001,0.13151838350320094,0.1123460915315078,0.1586038943816006,0.57950904046787
1.001,-1.5,1,1.15,1,0.0765625,0.08142375502411142,0.13407573145539117,0.13316627664379715,0.5609648349799311
1.001,-1.5,1,1.0,0,0.09882812500000002,0.0595880334402054,0.12030649059356374,0.17450363116521211,0.49362625695047474
1.001,-1.5,2,1.25,1,0.070703125,0.11597305274187249,0.1099012305003663,0.14443567174944363,0.6294061175718736
1.001,-1.5,2,1.25,1,0.08525390625000001,0.07145072730103764,0.13475764133909862,0.16904829070802485,0.5665419380490561
1.001,-1.5,5,1.3,0,0.0765625,0.07952678248383323,0.13361634819844734,0.11830846528946262,0.6206771080616998
1.001,-1.5,1,1.25,0,0.07988281250000002,0.08279298401048132,0.11906148264562208,0.1525284365971413,0.5642781085622943
1.001,-1.5,6,1.3,0,0.08125000000000002,0.12251436557970515,0.14072331207730523,0.1126668101701194,0.6060361386216035
1.001,-1.5,2,1.45,2,0.09101562500000002,0.07916353681617092,0.1367041808043879,0.1428226654711889,0.5077446329685419
1.001,-1.5,4,1.3,1,0.08427734375000001,0.10854896536535144,0.13734172995189897,0.12499991655442552,0.5271053405869903
1.001,-1.5,1,1.05,0,0.07812500000000001,0.08992430306311519,0.1253883861907952,0.17195014062609848,0.5780807190596466
1.001,-1.5,2,1.45,1,0.08281250000000001,0.21377222979578175,0.13975137968548695,0.14239800907089256,0.5022334380654804
1.001,-1.5,1,1.3,0,0.08847656250000001,0.17150918195084086,0.13265804025336134,0.13063364606874409,0.5030461008057105
1.001,-1.5,1,1.25,0,0.0859375,0.058453799177123865,0.12576835622671004,0.11244617251885887,0.637963823204651
